opcode,client,runtime_ms,conf_int_low,conf_int_high,new_gas,new_gas_rounded,new_gas_conf_int_low,new_gas_conf_int_high,param
BLS12_G1ADD,geth,0.0051319984391543,0.0050834366086851,0.0051809757757898,307.91990634925804,308.0,306.0,311.0,constant
BLS12_G1ADD,besu,0.0107035239889217,0.0104263511190682,0.0108709053294792,642.211439335302,643.0,626.0,653.0,constant
BLS12_G2ADD,reth,0.0074215448727904,0.0073392262131422,0.0075039730119915,445.292692367424,446.0,441.0,451.0,constant
BLS12_G2ADD,nethermind,0.0092150410297593,0.0091418225158975,0.0092646980053262,552.9024617855579,553.0,549.0,556.0,constant
BLS12_G2ADD,geth,0.0070105085944561,0.0069473127158899,0.0070716359871408,420.630515667366,421.0,417.0,425.0,constant
BLS12_G2ADD,besu,0.0127384993930467,0.0124758920404194,0.0128932360105879,764.309963582802,765.0,749.0,774.0,constant
ECADD,reth,0.0037862519194507,0.0037459085335001,0.0038263956874274,227.175115167042,228.0,225.0,230.0,constant
ECADD,nethermind,0.0024344991174066,0.0024048793278847,0.0024630282358163,146.069947044396,147.0,145.0,148.0,constant
ECADD,geth,0.0029140286722903,0.0028833456604086,0.0029435519533771,174.84172033741802,175.0,174.0,177.0,constant
ECADD,besu,0.0052222616725158,0.0051532331258605,0.0052897706667825,313.33570035094795,314.0,310.0,318.0,constant
ECRECOVER,reth,0.0469245631425189,0.0463110466329355,0.0474956105098011,2815.473788551134,2816.0,2779.0,2850.0,constant
ECRECOVER,nethermind,0.044552369880902,0.0440729469316443,0.0449694686183152,2673.14219285412,2674.0,2645.0,2699.0,constant
ECRECOVER,geth,0.048045974127907,0.0476620528629943,0.0484277239691088,2882.75844767442,2883.0,2860.0,2906.0,constant
ECRECOVER,besu,0.0483970436338971,0.0477731311889889,0.0490033218935897,2903.8226180338265,2904.0,2867.0,2941.0,constant
KECCAK256,reth,1.098659215633366e-05,9.954135791653595e-06,1.1967288359819412e-05,0.6591955293800196,1.0,1.0,1.0,constant
KECCAK256,nethermind,1.4441760096771556e-05,1.2477631222078251e-05,1.6473973517307955e-05,0.8665056058062933,1.0,1.0,1.0,constant
KECCAK256,geth,0.0004678246243108,0.0004639999162701,0.0004717200098802,28.069477458648,29.0,28.0,29.0,constant
KECCAK256,besu,0.0007356329691706,0.0007317500574065,0.0007388226205182,44.137978150236,45.0,44.0,45.0,constant
KECCAK256,erigon,0.0004452015197011,0.0004352797300376,0.0004535932374909,26.712091182066,27.0,27.0,28.0,constant
BLAKE2F,reth,0.0005979765246188,0.0005821901674265,0.0006124284384606,35.878591477128,36.0,35.0,37.0,constant
BLAKE2F,nethermind,0.0007222786554823,0.0007164779054363,0.0007278046393914,43.336719328938,44.0,43.0,44.0,constant
BLAKE2F,geth,0.000690323238173,0.000684641437446,0.0006959985887044,41.419394290380005,42.0,42.0,42.0,constant
BLAKE2F,besu,0.0028181435118324,0.0027906180833781,0.0028451169717866,169.08861070994402,170.0,168.0,171.0,constant
ECPAIRING,reth,0.5784839861656413,0.5677662895180551,0.5895092714492595,34709.039169938485,34710.0,34066.0,35371.0,constant
ECPAIRING,nethermind,0.3005401602767019,0.2924813057259339,0.3092937167161786,18032.40961660211,18033.0,17549.0,18558.0,constant
ECPAIRING,geth,0.3013137203519744,0.297277065594647,0.3057771428890149,18078.823221118466,18079.0,17837.0,18347.0,constant
ECPAIRING,besu,0.3030967743715635,0.298631271850926,0.3076860805469614,18185.80646229381,18186.0,17918.0,18462.0,constant
BLAKE2F,reth,1.9980478550919525e-05,1.9210445170213485e-05,2.0722293775012477e-05,1.1988287130551714,2.0,2.0,2.0,num_rounds
BLAKE2F,nethermind,1.083418877913573e-05,1.039044297152357e-05,1.1287223372455248e-05,0.6500513267481439,1.0,1.0,1.0,num_rounds
BLAKE2F,geth,1.3672637326148798e-05,1.3331211378277949e-05,1.4035116625147804e-05,0.8203582395689278,1.0,1.0,1.0,num_rounds
BLAKE2F,besu,1.7397641318964246e-05,1.5744675510330422e-05,1.889906305864347e-05,1.043858479137855,2.0,1.0,2.0,num_rounds
ECPAIRING,reth,0.4691167337565056,0.4658109731776257,0.4721315539253526,28147.004025390335,28148.0,27949.0,28328.0,num_pairs
ECPAIRING,nethermind,0.5683721080387686,0.5651264721274881,0.5714317372491693,34102.32648232611,34103.0,33908.0,34286.0,num_pairs
ECPAIRING,geth,0.2147150953799206,0.2135106716030574,0.215901649855182,12882.905722795234,12883.0,12811.0,12955.0,num_pairs
ECPAIRING,besu,0.2107332292025176,0.2093269749427371,0.2121101543353042,12643.993752151056,12644.0,12560.0,12727.0,num_pairs
KECCAK256,reth,2.5712728154737743e-06,2.5626850032475305e-06,2.5798361877318915e-06,0.004821136529013326,1.0,1.0,1.0,msg_size
KECCAK256,nethermind,2.833406778115701e-06,2.8251143319618066e-06,2.8420075815774795e-06,0.005312637708966939,1.0,1.0,1.0,msg_size
KECCAK256,geth,2.660530301578625e-06,2.6307219022483332e-06,2.691016652909138e-06,0.004988494315459922,1.0,1.0,1.0,msg_size
KECCAK256,besu,3.4515188025474612e-06,3.419849500210039e-06,3.4820744116316885e-06,0.00647159775477649,1.0,1.0,1.0,msg_size
KECCAK256,erigon,2.5566603775758763e-06,2.468480283117723e-06,2.6254455057835018e-06,0.0047937382079547685,1.0,1.0,1.0,msg_size
